модель,длина,таргет,F1 (EN Simple 1:1:1),F1 (EN Simple 3:3:1),Δ (3:3:1 − 1:1:1)
BGE-M3,1024,relevance,0.414645791053772,0.414645791053772,0.0
BGE-M3,2048,relevance,0.33379241824150085,0.33379241824150085,0.0
BGE-M3,4096,relevance,0.33424803614616394,0.33424803614616394,0.0
BGE-M3,512,relevance,0.48005813360214233,0.48041465878486633,0.000356525182723999
BGE-M3,8192,relevance,0.31512969732284546,0.0,-0.31512969732284546
DeBERTa-v3,128,relevance,0.6398913860321045,0.6398657560348511,-2.562999725341797e-05
DeBERTa-v3,256,relevance,0.5448411107063293,0.5435116291046143,-0.0013294816017150879
DeBERTa-v3,512,relevance,0.47065308690071106,0.4707360863685608,8.299946784973145e-05
Tochka-AI/ruRoPEBert-e5-base-2k,1024,relevance,0.41439127922058105,0.41439127922058105,0.0
Tochka-AI/ruRoPEBert-e5-base-2k,2048,relevance,0.3334076702594757,0.3334076702594757,0.0
Tochka-AI/ruRoPEBert-e5-base-2k,256,relevance,0.5580735206604004,0.5580735206604004,0.0
Tochka-AI/ruRoPEBert-e5-base-2k,512,relevance,0.4804726541042328,0.4804726541042328,0.0
ModernBERT,1024,relevance,0.6299208402633667,0.6589086651802063,0.0289878249168396
ModernBERT,2048,relevance,0.595869243144989,0.599811315536499,0.00394207239151001
ModernBERT,4096,relevance,0.5634251236915588,0.5805501937866211,0.017125070095062256
ModernBERT,512,relevance,0.5787867307662964,0.5927324891090393,0.01394575834274292
ModernBERT,8192,relevance,0.5306838750839233,0.5329892635345459,0.0023053884506225586
BGE-M3,1024,utilization,0.3470885157585144,0.3470885157585144,0.0
BGE-M3,2048,utilization,0.2836577892303467,0.2836577892303467,0.0
BGE-M3,4096,utilization,0.27201777696609497,0.27201777696609497,0.0
BGE-M3,512,utilization,0.4121550917625427,0.41260653734207153,0.0004514455795288086
BGE-M3,8192,utilization,0.24477791786193848,0.0,-0.24477791786193848
DeBERTa-v3,128,utilization,0.5458425879478455,0.0,-0.5458425879478455
DeBERTa-v3,256,utilization,0.4708153307437897,0.4696747064590454,-0.0011406242847442627
DeBERTa-v3,512,utilization,0.40141233801841736,0.40117213129997253,-0.00024020671844482422
Tochka-AI/ruRoPEBert-e5-base-2k,1024,utilization,0.3473135232925415,0.3473135232925415,0.0
Tochka-AI/ruRoPEBert-e5-base-2k,2048,utilization,0.28325536847114563,0.28325536847114563,0.0
Tochka-AI/ruRoPEBert-e5-base-2k,256,utilization,0.4705936014652252,0.4705936014652252,0.0
Tochka-AI/ruRoPEBert-e5-base-2k,512,utilization,0.4134965240955353,0.4134965240955353,0.0
ModernBERT,1024,utilization,0.6266962289810181,0.659044623374939,0.0323483943939209
ModernBERT,2048,utilization,0.5840298533439636,0.5868241190910339,0.0027942657470703125
ModernBERT,4096,utilization,0.5519211888313293,0.579026460647583,0.027105271816253662
ModernBERT,512,utilization,0.5649690628051758,0.5832801461219788,0.01831108331680298
ModernBERT,8192,utilization,0.5286175012588501,0.5386044383049011,0.009986937046051025
BGE-M3,1024,adherence,0.9086905121803284,0.9087430834770203,5.257129669189453e-05
BGE-M3,2048,adherence,0.9231991171836853,0.9231991171836853,0.0
BGE-M3,4096,adherence,0.9146782159805298,0.9146782159805298,0.0
BGE-M3,512,adherence,0.9147071242332458,0.9148181676864624,0.00011104345321655273
BGE-M3,8192,adherence,0.9141407012939453,0.0,-0.9141407012939453
DeBERTa-v3,128,adherence,0.8912943005561829,0.8912943005561829,0.0
DeBERTa-v3,256,adherence,0.9018775224685669,0.9021252393722534,0.00024771690368652344
DeBERTa-v3,512,adherence,0.9002245664596558,0.9002658128738403,4.124641418457031e-05
Tochka-AI/ruRoPEBert-e5-base-2k,1024,adherence,0.9094322919845581,0.9094322919845581,0.0
Tochka-AI/ruRoPEBert-e5-base-2k,2048,adherence,0.9230954051017761,0.9230954051017761,0.0
Tochka-AI/ruRoPEBert-e5-base-2k,256,adherence,0.9090909361839294,0.9090909361839294,0.0
Tochka-AI/ruRoPEBert-e5-base-2k,512,adherence,0.9192813038825989,0.9192813038825989,0.0
ModernBERT,1024,adherence,0.9166816473007202,0.9221633076667786,0.00548166036605835
ModernBERT,2048,adherence,0.9278095364570618,0.9252763390541077,-0.0025331974029541016
ModernBERT,4096,adherence,0.9234638214111328,0.9209172129631042,-0.0025466084480285645
ModernBERT,512,adherence,0.882080614566803,0.887543797492981,0.0054631829261779785
ModernBERT,8192,adherence,0.9189007878303528,0.9187224507331848,-0.00017833709716796875
