модель,длина,таргет,F1 (RU Simple 1:1:1),F1 (RU Simple 3:3:1),Δ (3:3:1 − 1:1:1)
BGE-M3,1024,relevance,0.7804039716720581,0.7789085507392883,-0.0014954209327697754
BGE-M3,2048,relevance,0.7955536246299744,0.7961739301681519,0.0006203055381774902
BGE-M3,256,relevance,0.7212418913841248,0.7059239745140076,-0.015317916870117188
BGE-M3,4096,relevance,0.7631601095199585,0.762996256351471,-0.00016385316848754883
BGE-M3,512,relevance,0.7938023805618286,0.7786203026771545,-0.015182077884674072
BGE-M3,8192,relevance,0.7159188985824585,0.7115861773490906,-0.00433272123336792
DeBERTa-v3,128,relevance,0.8836745619773865,0.886904776096344,0.0032302141189575195
DeBERTa-v3,256,relevance,0.81524658203125,0.7794480919837952,-0.035798490047454834
DeBERTa-v3,512,relevance,0.7731771469116211,0.7829042077064514,0.009727060794830322
ModernBERT,1024,relevance,0.7769042253494263,0.7756817936897278,-0.0012224316596984863
ModernBERT,2048,relevance,0.7968176007270813,0.7977596521377563,0.0009420514106750488
ModernBERT,256,relevance,0.7118529081344604,0.694247841835022,-0.017605066299438477
ModernBERT,4096,relevance,0.7656478881835938,0.7682332396507263,0.0025853514671325684
ModernBERT,512,relevance,0.7622765302658081,0.7640057802200317,0.0017292499542236328
ModernBERT,8192,relevance,0.7310429811477661,0.7277547717094421,-0.0032882094383239746
BGE-M3,1024,utilization,0.8115596771240234,0.8167846202850342,0.005224943161010742
BGE-M3,2048,utilization,0.8308417797088623,0.8248611688613892,-0.0059806108474731445
BGE-M3,256,utilization,0.693176805973053,0.6727909445762634,-0.02038586139678955
BGE-M3,4096,utilization,0.8078638911247253,0.809950053691864,0.002086162567138672
BGE-M3,512,utilization,0.8160545825958252,0.7977544665336609,-0.018300116062164307
BGE-M3,8192,utilization,0.7836160659790039,0.7803312540054321,-0.0032848119735717773
DeBERTa-v3,128,utilization,0.7519466280937195,0.7519466280937195,0.0
DeBERTa-v3,256,utilization,0.7996323108673096,0.783688485622406,-0.015943825244903564
DeBERTa-v3,512,utilization,0.8468316793441772,0.8467257618904114,-0.00010591745376586914
ModernBERT,1024,utilization,0.8264422416687012,0.8233991265296936,-0.0030431151390075684
ModernBERT,2048,utilization,0.8328465819358826,0.8406055569648743,0.007758975028991699
ModernBERT,256,utilization,0.7506895065307617,0.693476676940918,-0.05721282958984375
ModernBERT,4096,utilization,0.8144623041152954,0.8187501430511475,0.004287838935852051
ModernBERT,512,utilization,0.8266332745552063,0.8112698793411255,-0.01536339521408081
ModernBERT,8192,utilization,0.7973698973655701,0.7932330369949341,-0.004136860370635986
BGE-M3,1024,adherence,0.9149709343910217,0.9124571681022644,-0.0025137662887573242
BGE-M3,2048,adherence,0.935224711894989,0.9368009567260742,0.001576244831085205
BGE-M3,256,adherence,0.9037401676177979,0.9018821120262146,-0.001858055591583252
BGE-M3,4096,adherence,0.9363666772842407,0.9318740367889404,-0.004492640495300293
BGE-M3,512,adherence,0.9317806363105774,0.9343011975288391,0.0025205612182617188
BGE-M3,8192,adherence,0.9337596297264099,0.9317044615745544,-0.0020551681518554688
DeBERTa-v3,128,adherence,0.862533688545227,0.8700000047683716,0.007466316223144531
DeBERTa-v3,256,adherence,0.8835047483444214,0.8835047483444214,0.0
DeBERTa-v3,512,adherence,0.9017523527145386,0.9134933948516846,0.011741042137145996
ModernBERT,1024,adherence,0.9208872318267822,0.9244546294212341,0.0035673975944519043
ModernBERT,2048,adherence,0.9309396147727966,0.9349138736724854,0.003974258899688721
ModernBERT,256,adherence,0.9071568250656128,0.9082505702972412,0.001093745231628418
ModernBERT,4096,adherence,0.9314749240875244,0.9365792274475098,0.0051043033599853516
ModernBERT,512,adherence,0.9205553531646729,0.9229221343994141,0.002366781234741211
ModernBERT,8192,adherence,0.9281443953514099,0.9321226477622986,0.003978252410888672
