experiment,lang,head_type,weights,model_short,max_length,relevance_f1,utilization_f1,adherence_f1,test_relevance_f1,test_utilization_f1,test_adherence_f1
EN Simple 1:1:1,EN,Simple,1:1:1,BGE-M3,512,0.4881974160671234,0.40650203824043274,0.8820989727973938,0.48005813360214233,0.4121550917625427,0.9147071242332458
EN Simple 1:1:1,EN,Simple,1:1:1,BGE-M3,1024,0.4137745797634125,0.3379753530025482,0.9135722517967224,0.414645791053772,0.3470885157585144,0.9086905121803284
EN Simple 1:1:1,EN,Simple,1:1:1,BGE-M3,2048,0.32782185077667236,0.2731650471687317,0.925751805305481,0.33379241824150085,0.2836577892303467,0.9231991171836853
EN Simple 1:1:1,EN,Simple,1:1:1,BGE-M3,4096,0.32210609316825867,0.2605021595954895,0.9202826023101807,0.33424803614616394,0.27201777696609497,0.9146782159805298
EN Simple 1:1:1,EN,Simple,1:1:1,BGE-M3,8192,0.2996634840965271,0.2231244593858719,0.9185193777084351,0.31512969732284546,0.24477791786193848,0.9141407012939453
EN Simple 1:1:1,EN,Simple,1:1:1,DeBERTa-v3,128,0.7683797478675842,0.6696539521217346,0.9027093648910522,0.6398913860321045,0.5458425879478455,0.8912943005561829
EN Simple 1:1:1,EN,Simple,1:1:1,DeBERTa-v3,256,0.5970686078071594,0.5152484774589539,0.875215470790863,0.5448411107063293,0.4708153307437897,0.9018775224685669
EN Simple 1:1:1,EN,Simple,1:1:1,DeBERTa-v3,512,0.47922638058662415,0.38172686100006104,0.8962075114250183,0.47065308690071106,0.40141233801841736,0.9002245664596558
EN Simple 1:1:1,EN,Simple,1:1:1,ModernBERT,512,0.6201519966125488,0.5872584581375122,0.8910664319992065,0.5787867307662964,0.5649690628051758,0.882080614566803
EN Simple 1:1:1,EN,Simple,1:1:1,ModernBERT,1024,0.6575871706008911,0.6562427282333374,0.9291444420814514,0.6299208402633667,0.6266962289810181,0.9166816473007202
EN Simple 1:1:1,EN,Simple,1:1:1,ModernBERT,2048,0.6132480502128601,0.613645613193512,0.9311923384666443,0.595869243144989,0.5840298533439636,0.9278095364570618
EN Simple 1:1:1,EN,Simple,1:1:1,ModernBERT,4096,0.5919618606567383,0.5831239223480225,0.9324260950088501,0.5634251236915588,0.5519211888313293,0.9234638214111328
EN Simple 1:1:1,EN,Simple,1:1:1,ModernBERT,8192,0.5255670547485352,0.5527042746543884,0.9234821200370789,0.5306838750839233,0.5286175012588501,0.9189007878303528
