model_short,max_length,RU Simple 1:1:1,RU Simple 3:3:1,EN Simple 1:1:1,EN Simple 3:3:1,RU Complex 3:3:1
BGE-M3,256,0.7212,0.7059,,,
BGE-M3,512,0.7938,0.7786,0.4801,0.4804,0.5187
BGE-M3,1024,0.7804,0.7789,0.4146,0.4146,0.4294
BGE-M3,2048,0.7956,0.7962,0.3338,0.3338,0.3207
BGE-M3,4096,0.7632,0.763,0.3342,0.3342,0.3226
BGE-M3,8192,0.7159,0.7116,0.3151,0.0,0.3076
DeBERTa-v3,128,0.8837,0.8869,0.6399,0.6399,0.8869
DeBERTa-v3,256,0.8152,0.7794,0.5448,0.5435,0.6842
DeBERTa-v3,512,0.7732,0.7829,0.4707,0.4707,0.5649
ModernBERT,256,0.7119,0.6942,,,
ModernBERT,512,0.7623,0.764,0.5788,0.5927,0.5569
ModernBERT,1024,0.7769,0.7757,0.6299,0.6589,0.568
ModernBERT,2048,0.7968,0.7978,0.5959,0.5998,0.5668
ModernBERT,4096,0.7656,0.7682,0.5634,0.5806,0.0
ModernBERT,8192,0.731,0.7278,0.5307,0.533,0.3087
Tochka-AI/ruRoPEBert-e5-base-2k,256,,,0.5581,0.5581,0.5637
Tochka-AI/ruRoPEBert-e5-base-2k,512,,,0.4805,0.4805,0.5191
Tochka-AI/ruRoPEBert-e5-base-2k,1024,,,0.4144,0.4144,0.4292
Tochka-AI/ruRoPEBert-e5-base-2k,2048,,,0.3334,0.3334,0.3208
