model_short,max_length,RU Simple 1:1:1,RU Simple 3:3:1,EN Simple 1:1:1,EN Simple 3:3:1,RU Complex 3:3:1
BGE-M3,256,0.6932,0.6728,,,
BGE-M3,512,0.8161,0.7978,0.4122,0.4126,0.462
BGE-M3,1024,0.8116,0.8168,0.3471,0.3471,0.3601
BGE-M3,2048,0.8308,0.8249,0.2837,0.2837,0.2711
BGE-M3,4096,0.8079,0.81,0.272,0.272,0.2613
BGE-M3,8192,0.7836,0.7803,0.2448,0.0,0.2367
DeBERTa-v3,128,0.7519,0.7519,0.5458,0.0,0.7519
DeBERTa-v3,256,0.7996,0.7837,0.4708,0.4697,0.6017
DeBERTa-v3,512,0.8468,0.8467,0.4014,0.4012,0.4869
ModernBERT,256,0.7507,0.6935,,,
ModernBERT,512,0.8266,0.8113,0.565,0.5833,0.4962
ModernBERT,1024,0.8264,0.8234,0.6267,0.659,0.5263
ModernBERT,2048,0.8328,0.8406,0.584,0.5868,0.534
ModernBERT,4096,0.8145,0.8188,0.5519,0.579,0.0
ModernBERT,8192,0.7974,0.7932,0.5286,0.5386,0.2378
Tochka-AI/ruRoPEBert-e5-base-2k,256,,,0.4706,0.4706,0.4696
Tochka-AI/ruRoPEBert-e5-base-2k,512,,,0.4135,0.4135,0.4624
Tochka-AI/ruRoPEBert-e5-base-2k,1024,,,0.3473,0.3473,0.36
Tochka-AI/ruRoPEBert-e5-base-2k,2048,,,0.2833,0.2833,0.2713
