модель,длина,таргет,F1 (RU),F1 (EN),Δ (RU − EN)
BGE-M3,1024,relevance,0.7789085507392883,0.414645791053772,0.36426275968551636
BGE-M3,2048,relevance,0.7961739301681519,0.33379241824150085,0.462381511926651
BGE-M3,4096,relevance,0.762996256351471,0.33424803614616394,0.428748220205307
BGE-M3,512,relevance,0.7786203026771545,0.48041465878486633,0.2982056438922882
BGE-M3,8192,relevance,0.7115861773490906,0.0,0.7115861773490906
DeBERTa-v3,128,relevance,0.886904776096344,0.6398657560348511,0.24703902006149292
DeBERTa-v3,256,relevance,0.7794480919837952,0.5435116291046143,0.2359364628791809
DeBERTa-v3,512,relevance,0.7829042077064514,0.4707360863685608,0.3121681213378906
ModernBERT,1024,relevance,0.7756817936897278,0.6589086651802063,0.11677312850952148
ModernBERT,2048,relevance,0.7977596521377563,0.599811315536499,0.19794833660125732
ModernBERT,4096,relevance,0.7682332396507263,0.5805501937866211,0.18768304586410522
ModernBERT,512,relevance,0.7640057802200317,0.5927324891090393,0.17127329111099243
ModernBERT,8192,relevance,0.7277547717094421,0.5329892635345459,0.19476550817489624
BGE-M3,1024,utilization,0.8167846202850342,0.3470885157585144,0.4696961045265198
BGE-M3,2048,utilization,0.8248611688613892,0.2836577892303467,0.5412033796310425
BGE-M3,4096,utilization,0.809950053691864,0.27201777696609497,0.537932276725769
BGE-M3,512,utilization,0.7977544665336609,0.41260653734207153,0.38514792919158936
BGE-M3,8192,utilization,0.7803312540054321,0.0,0.7803312540054321
DeBERTa-v3,128,utilization,0.7519466280937195,0.0,0.7519466280937195
DeBERTa-v3,256,utilization,0.783688485622406,0.4696747064590454,0.3140137791633606
DeBERTa-v3,512,utilization,0.8467257618904114,0.40117213129997253,0.44555363059043884
ModernBERT,1024,utilization,0.8233991265296936,0.659044623374939,0.16435450315475464
ModernBERT,2048,utilization,0.8406055569648743,0.5868241190910339,0.25378143787384033
ModernBERT,4096,utilization,0.8187501430511475,0.579026460647583,0.23972368240356445
ModernBERT,512,utilization,0.8112698793411255,0.5832801461219788,0.22798973321914673
ModernBERT,8192,utilization,0.7932330369949341,0.5386044383049011,0.25462859869003296
BGE-M3,1024,adherence,0.9124571681022644,0.9087430834770203,0.0037140846252441406
BGE-M3,2048,adherence,0.9368009567260742,0.9231991171836853,0.013601839542388916
BGE-M3,4096,adherence,0.9318740367889404,0.9146782159805298,0.017195820808410645
BGE-M3,512,adherence,0.9343011975288391,0.9148181676864624,0.01948302984237671
BGE-M3,8192,adherence,0.9317044615745544,0.0,0.9317044615745544
DeBERTa-v3,128,adherence,0.8700000047683716,0.8912943005561829,-0.02129429578781128
DeBERTa-v3,256,adherence,0.8835047483444214,0.9021252393722534,-0.01862049102783203
DeBERTa-v3,512,adherence,0.9134933948516846,0.9002658128738403,0.013227581977844238
ModernBERT,1024,adherence,0.9244546294212341,0.9221633076667786,0.0022913217544555664
ModernBERT,2048,adherence,0.9349138736724854,0.9252763390541077,0.009637534618377686
ModernBERT,4096,adherence,0.9365792274475098,0.9209172129631042,0.015662014484405518
ModernBERT,512,adherence,0.9229221343994141,0.887543797492981,0.035378336906433105
ModernBERT,8192,adherence,0.9321226477622986,0.9187224507331848,0.01340019702911377
