модель,длина,таргет,F1 (Simple),F1 (Complex),Δ (Complex − Simple)
BGE-M3,1024,relevance,0.7789085507392883,0.42939189076423645,-0.3495166599750519
BGE-M3,2048,relevance,0.7961739301681519,0.3206773102283478,-0.4754966199398041
BGE-M3,4096,relevance,0.762996256351471,0.3226132392883301,-0.44038301706314087
BGE-M3,512,relevance,0.7786203026771545,0.5186730027198792,-0.2599472999572754
BGE-M3,8192,relevance,0.7115861773490906,0.3075825870037079,-0.4040035903453827
DeBERTa-v3,128,relevance,0.886904776096344,0.886904776096344,0.0
DeBERTa-v3,256,relevance,0.7794480919837952,0.6841955184936523,-0.09525257349014282
DeBERTa-v3,512,relevance,0.7829042077064514,0.5649216175079346,-0.21798259019851685
ModernBERT,1024,relevance,0.7756817936897278,0.5679638385772705,-0.20771795511245728
ModernBERT,2048,relevance,0.7977596521377563,0.5667870044708252,-0.23097264766693115
ModernBERT,4096,relevance,0.7682332396507263,0.0,-0.7682332396507263
ModernBERT,512,relevance,0.7640057802200317,0.5568653345108032,-0.20714044570922852
ModernBERT,8192,relevance,0.7277547717094421,0.3086540699005127,-0.41910070180892944
BGE-M3,1024,utilization,0.8167846202850342,0.36011701822280884,-0.45666760206222534
BGE-M3,2048,utilization,0.8248611688613892,0.2710717022418976,-0.5537894666194916
BGE-M3,4096,utilization,0.809950053691864,0.2613281309604645,-0.5486219227313995
BGE-M3,512,utilization,0.7977544665336609,0.4619692265987396,-0.33578523993492126
BGE-M3,8192,utilization,0.7803312540054321,0.23672868311405182,-0.5436025708913803
DeBERTa-v3,128,utilization,0.7519466280937195,0.7519466280937195,0.0
DeBERTa-v3,256,utilization,0.783688485622406,0.6016876101493835,-0.18200087547302246
DeBERTa-v3,512,utilization,0.8467257618904114,0.4869186580181122,-0.3598071038722992
ModernBERT,1024,utilization,0.8233991265296936,0.5263082981109619,-0.2970908284187317
ModernBERT,2048,utilization,0.8406055569648743,0.5340461134910583,-0.3065594434738159
ModernBERT,4096,utilization,0.8187501430511475,0.0,-0.8187501430511475
ModernBERT,512,utilization,0.8112698793411255,0.49623268842697144,-0.31503719091415405
ModernBERT,8192,utilization,0.7932330369949341,0.23781897127628326,-0.5554140657186508
BGE-M3,1024,adherence,0.9124571681022644,0.9114048480987549,-0.0010523200035095215
BGE-M3,2048,adherence,0.9368009567260742,0.9304614067077637,-0.006339550018310547
BGE-M3,4096,adherence,0.9318740367889404,0.9280276894569397,-0.0038463473320007324
BGE-M3,512,adherence,0.9343011975288391,0.9190567135810852,-0.015244483947753906
BGE-M3,8192,adherence,0.9317044615745544,0.9275368452072144,-0.004167616367340088
DeBERTa-v3,128,adherence,0.8700000047683716,0.8700000047683716,0.0
DeBERTa-v3,256,adherence,0.8835047483444214,0.8835047483444214,0.0
DeBERTa-v3,512,adherence,0.9134933948516846,0.9125226736068726,-0.0009707212448120117
ModernBERT,1024,adherence,0.9244546294212341,0.9068675637245178,-0.01758706569671631
ModernBERT,2048,adherence,0.9349138736724854,0.9312360286712646,-0.003677845001220703
ModernBERT,4096,adherence,0.9365792274475098,0.0,-0.9365792274475098
ModernBERT,512,adherence,0.9229221343994141,0.9154682755470276,-0.007453858852386475
ModernBERT,8192,adherence,0.9321226477622986,0.9291202425956726,-0.0030024051666259766
